GPU Memory Track | 07-May-24-20:06:11 | Total Tensor Used Memory:16302.9Mb Total Allocated Memory:16415.8Mb

+ | 80 * Size:(1280, 1280, 3, 3)   | Memory: 4500.0 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(128, 256, 1, 1)     | Memory: 0.0625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 16 * Size:(960,)               | Memory: 0.0585 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(320, 8, 3, 3)       | Memory: 0.0439 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(512, 4, 3, 3)       | Memory: 0.0351 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(4, 320, 3, 3)       | Memory: 0.0219 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 34 * Size:(256,)               | Memory: 0.0166 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(1920,)              | Memory: 0.0146 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 35 * Size:(128,)               | Memory: 0.0085 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(960,)               | Memory: 0.0073 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(3, 128, 3, 3)       | Memory: 0.0065 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(128, 3, 3, 3)       | Memory: 0.0065 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(1, 1024)            | Memory: 0.0039 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(1, 257)             | Memory: 0.0019 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(8, 8, 1, 1)         | Memory: 0.0001 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(4,)                 | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(8,)                 | Memory: 3.0517 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(4, 4, 1, 1)         | Memory: 3.0517 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(3, 1, 1)            | Memory: 2.2888 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(4,)                 | Memory: 1.5258 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 1 * Size:(3,)                 | Memory: 5.7220 M | <class 'torch.nn.parameter.Parameter'> | torch.float16

At /home/czh5/multimodal/deepspeed-mvdiffusion/train_mvdiffusion_image_sd21_unclip_ds.py line 680: main Total Tensor Used Memory:16302.9Mb Total Allocated Memory:16415.8Mb

+ | 20 * Size:(16, 2304, 1280)     | Memory: 1800.0 M | <class 'torch.Tensor'> | torch.float16
+ | 45 * Size:(16, 2304, 320)      | Memory: 1012.5 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(16, 576, 2560)      | Memory: 900.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(16, 320, 48, 48)    | Memory: 675.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(80, 2304, 1, 64)    | Memory: 675.0 M | <class 'torch.Tensor'> | torch.float16
+ | 45 * Size:(16, 576, 640)       | Memory: 506.25 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(80, 4608, 1, 64)    | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(80, 4608, 64)       | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(16, 144, 5120)      | Memory: 450.0 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(160, 576, 1, 64)    | Memory: 337.5 M | <class 'torch.Tensor'> | torch.float16
+ | 7 * Size:(16, 640, 48, 48)    | Memory: 315.0 M | <class 'torch.Tensor'> | torch.float16
+ | 24 * Size:(16, 640, 24, 24)    | Memory: 270.0 M | <class 'torch.Tensor'> | torch.float16
+ | 45 * Size:(16, 144, 1280)      | Memory: 253.12 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 1152, 64)      | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 1152, 1, 64)   | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(80, 2304, 64)       | Memory: 225.0 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(16, 960, 48, 48)    | Memory: 202.5 M | <class 'torch.Tensor'> | torch.float16
+ | 30 * Size:(320, 144, 1, 64)    | Memory: 168.75 M | <class 'torch.Tensor'> | torch.float16
+ | 25 * Size:(16, 1280, 12, 12)   | Memory: 140.62 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 288, 1, 64)    | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 288, 64)       | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 576, 64)       | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(16, 1920, 24, 24)   | Memory: 101.25 M | <class 'torch.Tensor'> | torch.float16
+ | 4 * Size:(16, 1280, 24, 24)   | Memory: 90.0 M | <class 'torch.Tensor'> | torch.float16
+ | 6 * Size:(16, 2560, 12, 12)   | Memory: 67.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 144, 64)       | Memory: 56.25 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(2, 8, 3, 384, 384)  | Memory: 54.0 M | <class 'torch.Tensor'> | torch.float32
+ | 3 * Size:(16, 960, 24, 24)    | Memory: 50.625 M | <class 'torch.Tensor'> | torch.float16
+ | 34 * Size:(16, 1280, 6, 6)     | Memory: 47.812 M | <class 'torch.Tensor'> | torch.float16
+ | 12 * Size:(320, 77, 64)        | Memory: 36.093 M | <class 'torch.Tensor'> | torch.float16
+ | 12 * Size:(320, 77, 1, 64)     | Memory: 36.093 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(16, 3, 384, 384)    | Memory: 27.0 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(16, 1920, 12, 12)   | Memory: 25.312 M | <class 'torch.Tensor'> | torch.float16
+ | 9 * Size:(16, 2560, 6, 6)     | Memory: 25.312 M | <class 'torch.Tensor'> | torch.float16
+ | 4 * Size:(16, 36, 5120)       | Memory: 22.5 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(16, 320, 24, 24)    | Memory: 16.875 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 77, 64)        | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 77, 1, 64)     | Memory: 15.039 M | <class 'torch.Tensor'> | torch.float16
+ | 9 * Size:(16, 36, 1280)       | Memory: 12.656 M | <class 'torch.Tensor'> | torch.float16
+ | 6 * Size:(320, 36, 1, 64)     | Memory: 8.4375 M | <class 'torch.Tensor'> | torch.float16
+ | 3 * Size:(16, 640, 12, 12)    | Memory: 8.4375 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(80, 77, 64)         | Memory: 7.5195 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(80, 77, 1, 64)      | Memory: 7.5195 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(80, 1, 2304)        | Memory: 7.0312 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(320, 72, 1, 64)     | Memory: 5.625 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(320, 72, 64)        | Memory: 5.625 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16, 3, 224, 224)    | Memory: 4.5937 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(160, 1, 576)        | Memory: 3.5156 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(320, 36, 64)        | Memory: 2.8125 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16, 77, 1024)       | Memory: 2.4062 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(2, 8, 77, 1024)     | Memory: 2.4062 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(320, 1, 144)        | Memory: 1.7578 M | <class 'torch.Tensor'> | torch.float32
+ | 5 * Size:(16, 4, 48, 48)      | Memory: 1.4062 M | <class 'torch.Tensor'> | torch.float16
+ | 27 * Size:(16, 1280)           | Memory: 1.0546 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16, 8, 48, 48)      | Memory: 0.5625 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(320, 1, 36)         | Memory: 0.0878 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(16, 1024)           | Memory: 0.0625 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16, 2048)           | Memory: 0.0625 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16, 320)            | Memory: 0.0097 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(2, 8, 3)            | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(16,)                | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 8, 2)            | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(16, 1)              | Memory: 6.1035 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16,)                | Memory: 3.0517 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(2, 8, 1, 1, 1)      | Memory: 3.0517 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(16, 1, 1, 1)        | Memory: 3.0517 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(2, 8, 1)            | Memory: 3.0517 M | <class 'torch.Tensor'> | torch.float16
+ | 1 * Size:(1,)                 | Memory: 7.6293 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2,)                 | Memory: 7.6293 M | <class 'torch.Tensor'> | torch.float32

At /home/czh5/multimodal/deepspeed-mvdiffusion/train_mvdiffusion_image_sd21_unclip_ds.py line 834: main Total Tensor Used Memory:26691.9Mb Total Allocated Memory:25386.8Mb

+ | 40 * Size:(1280, 1280, 3, 3)   | Memory: 1125.0 M | <class 'torch.Tensor'> | torch.float16
+ | 40 * Size:(1280, 1280, 3, 3)   | Memory: 1125.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 252 * Size:(1280, 1280)         | Memory: 787.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 252 * Size:(1280, 1280)         | Memory: 787.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(1280, 2560, 3, 3)   | Memory: 562.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(1280, 2560, 3, 3)   | Memory: 562.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 44 * Size:(1280, 5120)         | Memory: 550.0 M | <class 'torch.Tensor'> | torch.float16
+ | 44 * Size:(1280, 5120)         | Memory: 550.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 12 * Size:(10240, 1280)        | Memory: 300.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 12 * Size:(10240, 1280)        | Memory: 300.0 M | <class 'torch.Tensor'> | torch.float16
+ | 16 * Size:(640, 640, 3, 3)     | Memory: 112.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 16 * Size:(640, 640, 3, 3)     | Memory: 112.5 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(1280, 1920, 3, 3)   | Memory: 84.375 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(1280, 1920, 3, 3)   | Memory: 84.375 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 10 * Size:(1280, 2560, 1, 1)   | Memory: 62.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 80 * Size:(640, 640)           | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(1280, 2560, 1, 1)   | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(5120, 640)          | Memory: 62.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 10 * Size:(5120, 640)          | Memory: 62.5 M | <class 'torch.Tensor'> | torch.float16
+ | 80 * Size:(640, 640)           | Memory: 62.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 24 * Size:(1280, 1024)         | Memory: 60.0 M | <class 'torch.Tensor'> | torch.float16
+ | 24 * Size:(1280, 1024)         | Memory: 60.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(640, 1920, 3, 3)    | Memory: 42.187 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(640, 1920, 3, 3)    | Memory: 42.187 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(640, 2560)          | Memory: 31.25 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 10 * Size:(640, 2560)          | Memory: 31.25 M | <class 'torch.Tensor'> | torch.float16
+ | 16 * Size:(320, 320, 3, 3)     | Memory: 28.125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 16 * Size:(320, 320, 3, 3)     | Memory: 28.125 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(640, 1280, 3, 3)    | Memory: 28.125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(1280, 640, 3, 3)    | Memory: 28.125 M | <class 'torch.Tensor'> | torch.float16
+ | 2 * Size:(1280, 640, 3, 3)    | Memory: 28.125 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(640, 1280, 3, 3)    | Memory: 28.125 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(640, 1024)          | Memory: 25.0 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(640, 1024)          | Memory: 25.0 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(640, 960, 3, 3)     | Memory: 21.093 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(640, 960, 3, 3)     | Memory: 21.093 M | <class 'torch.Tensor'> | torch.float16
+ | 80 * Size:(320, 320)           | Memory: 15.625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 20 * Size:(320, 1280)          | Memory: 15.625 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(2560, 320)          | Memory: 15.625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 10 * Size:(640, 1280)          | Memory: 15.625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 10 * Size:(640, 1280)          | Memory: 15.625 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(320, 1280)          | Memory: 15.625 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 80 * Size:(320, 320)           | Memory: 15.625 M | <class 'torch.Tensor'> | torch.float16
+ | 10 * Size:(2560, 320)          | Memory: 15.625 M | <class 'torch.Tensor'> | torch.float16
+ | 4 * Size:(320, 640, 3, 3)     | Memory: 14.062 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 4 * Size:(320, 640, 3, 3)     | Memory: 14.062 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(320, 1024)          | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float16
+ | 20 * Size:(320, 1024)          | Memory: 12.5 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
+ | 2 * Size:(320, 960, 3, 3)     | Memory: 10.546 M | <class 'torch.nn.parameter.Parameter'> | torch.float16
